자소서,질문
"20대 초반 진로나 미래에 대한 고민 없이 의미 없는 나날을 보냈습니다. 방학 때 건설현장에서 아르바이트를 하곤 했는데, 소위 말하는 '막노동'이었습니다. 하루는 쉬는 시간에 나이 지긋한 인부 한 분께서 단어장으로 영어 공부 하시는 것을 보게 되었습니다. 궁금증이 생겨 대화를 나눠보니, 최근 영어공부에 푹 빠져 있다고 하셨습니다. 덧붙여 ""목표와 노력 없이 삶은 살아온 본인의 젊음이 너무 아깝다, 배우는 즐거움을 이제 느낀 게 너무 후회된다.""라는 말씀 또한 하셨습니다. 나이에 구애 받지 않고 평생 아쉬움으로 남아있던 공부에 도전하시는 모습을 보고 머리를 강하게 맞은 기분이 들었습니다. 지금까지 진로나 목표를 찾으려는 노력 없이 그저 내키는 대로 살아왔던 저 자신이 부끄럽게 느껴졌고 미래에 대해 진지하게 고민해볼 수 있는 계기가 되었습니다.
당시 제가 바로 도전해볼 수 있던 것은 수능이었기에 수능에 한번 도전해 보자는 마음을 먹게 되었습니다. 곧바로 다니던 학교에 자퇴 원서를 내고 수능을 준비하게 되었습니다. 하지만 공업고등학교를 나왔기에 일반적인 고교과정과 배운 점이 많이 달라 기본기조차 없었기 때문에 시작은 쉽지 않았습니다. 남들에 비해 많은 시간이 필요했기에 배로 노력해야 한다고 생각했고, 후회 없는 선택이 될 수 있도록 밤낮으로 공부한 결과 현재 다니는 학교에 입학할 수 있게 되었습니다.",당신이 공부에 적극적으로 도전하려고 한 이유는 무엇인가요?
"20대 초반 진로나 미래에 대한 고민 없이 의미 없는 나날을 보냈습니다. 방학 때 건설현장에서 아르바이트를 하곤 했는데, 소위 말하는 '막노동'이었습니다. 하루는 쉬는 시간에 나이 지긋한 인부 한 분께서 단어장으로 영어 공부 하시는 것을 보게 되었습니다. 궁금증이 생겨 대화를 나눠보니, 최근 영어공부에 푹 빠져 있다고 하셨습니다. 덧붙여 ""목표와 노력 없이 삶은 살아온 본인의 젊음이 너무 아깝다, 배우는 즐거움을 이제 느낀 게 너무 후회된다.""라는 말씀 또한 하셨습니다. 나이에 구애 받지 않고 평생 아쉬움으로 남아있던 공부에 도전하시는 모습을 보고 머리를 강하게 맞은 기분이 들었습니다. 지금까지 진로나 목표를 찾으려는 노력 없이 그저 내키는 대로 살아왔던 저 자신이 부끄럽게 느껴졌고 미래에 대해 진지하게 고민해볼 수 있는 계기가 되었습니다.
당시 제가 바로 도전해볼 수 있던 것은 수능이었기에 수능에 한번 도전해 보자는 마음을 먹게 되었습니다. 곧바로 다니던 학교에 자퇴 원서를 내고 수능을 준비하게 되었습니다. 하지만 공업고등학교를 나왔기에 일반적인 고교과정과 배운 점이 많이 달라 기본기조차 없었기 때문에 시작은 쉽지 않았습니다. 남들에 비해 많은 시간이 필요했기에 배로 노력해야 한다고 생각했고, 후회 없는 선택이 될 수 있도록 밤낮으로 공부한 결과 현재 다니는 학교에 입학할 수 있게 되었습니다.",수능을 선택한 이유와 자퇴를 결정한 과정을 설명해주세요.
"20대 초반 진로나 미래에 대한 고민 없이 의미 없는 나날을 보냈습니다. 방학 때 건설현장에서 아르바이트를 하곤 했는데, 소위 말하는 '막노동'이었습니다. 하루는 쉬는 시간에 나이 지긋한 인부 한 분께서 단어장으로 영어 공부 하시는 것을 보게 되었습니다. 궁금증이 생겨 대화를 나눠보니, 최근 영어공부에 푹 빠져 있다고 하셨습니다. 덧붙여 ""목표와 노력 없이 삶은 살아온 본인의 젊음이 너무 아깝다, 배우는 즐거움을 이제 느낀 게 너무 후회된다.""라는 말씀 또한 하셨습니다. 나이에 구애 받지 않고 평생 아쉬움으로 남아있던 공부에 도전하시는 모습을 보고 머리를 강하게 맞은 기분이 들었습니다. 지금까지 진로나 목표를 찾으려는 노력 없이 그저 내키는 대로 살아왔던 저 자신이 부끄럽게 느껴졌고 미래에 대해 진지하게 고민해볼 수 있는 계기가 되었습니다.
당시 제가 바로 도전해볼 수 있던 것은 수능이었기에 수능에 한번 도전해 보자는 마음을 먹게 되었습니다. 곧바로 다니던 학교에 자퇴 원서를 내고 수능을 준비하게 되었습니다. 하지만 공업고등학교를 나왔기에 일반적인 고교과정과 배운 점이 많이 달라 기본기조차 없었기 때문에 시작은 쉽지 않았습니다. 남들에 비해 많은 시간이 필요했기에 배로 노력해야 한다고 생각했고, 후회 없는 선택이 될 수 있도록 밤낮으로 공부한 결과 현재 다니는 학교에 입학할 수 있게 되었습니다.",공업고등학교 출신으로서 고교과정의 차이가 느껴졌던 점은 무엇인가요? 어떻게 이겨냈나요?
"20대 초반 진로나 미래에 대한 고민 없이 의미 없는 나날을 보냈습니다. 방학 때 건설현장에서 아르바이트를 하곤 했는데, 소위 말하는 '막노동'이었습니다. 하루는 쉬는 시간에 나이 지긋한 인부 한 분께서 단어장으로 영어 공부 하시는 것을 보게 되었습니다. 궁금증이 생겨 대화를 나눠보니, 최근 영어공부에 푹 빠져 있다고 하셨습니다. 덧붙여 ""목표와 노력 없이 삶은 살아온 본인의 젊음이 너무 아깝다, 배우는 즐거움을 이제 느낀 게 너무 후회된다.""라는 말씀 또한 하셨습니다. 나이에 구애 받지 않고 평생 아쉬움으로 남아있던 공부에 도전하시는 모습을 보고 머리를 강하게 맞은 기분이 들었습니다. 지금까지 진로나 목표를 찾으려는 노력 없이 그저 내키는 대로 살아왔던 저 자신이 부끄럽게 느껴졌고 미래에 대해 진지하게 고민해볼 수 있는 계기가 되었습니다.
당시 제가 바로 도전해볼 수 있던 것은 수능이었기에 수능에 한번 도전해 보자는 마음을 먹게 되었습니다. 곧바로 다니던 학교에 자퇴 원서를 내고 수능을 준비하게 되었습니다. 하지만 공업고등학교를 나왔기에 일반적인 고교과정과 배운 점이 많이 달라 기본기조차 없었기 때문에 시작은 쉽지 않았습니다. 남들에 비해 많은 시간이 필요했기에 배로 노력해야 한다고 생각했고, 후회 없는 선택이 될 수 있도록 밤낮으로 공부한 결과 현재 다니는 학교에 입학할 수 있게 되었습니다.",밤낮으로 공부하는 동안 겪었던 어려움과 극복한 방법은 무엇이었나요?
"20대 초반 진로나 미래에 대한 고민 없이 의미 없는 나날을 보냈습니다. 방학 때 건설현장에서 아르바이트를 하곤 했는데, 소위 말하는 '막노동'이었습니다. 하루는 쉬는 시간에 나이 지긋한 인부 한 분께서 단어장으로 영어 공부 하시는 것을 보게 되었습니다. 궁금증이 생겨 대화를 나눠보니, 최근 영어공부에 푹 빠져 있다고 하셨습니다. 덧붙여 ""목표와 노력 없이 삶은 살아온 본인의 젊음이 너무 아깝다, 배우는 즐거움을 이제 느낀 게 너무 후회된다.""라는 말씀 또한 하셨습니다. 나이에 구애 받지 않고 평생 아쉬움으로 남아있던 공부에 도전하시는 모습을 보고 머리를 강하게 맞은 기분이 들었습니다. 지금까지 진로나 목표를 찾으려는 노력 없이 그저 내키는 대로 살아왔던 저 자신이 부끄럽게 느껴졌고 미래에 대해 진지하게 고민해볼 수 있는 계기가 되었습니다.
당시 제가 바로 도전해볼 수 있던 것은 수능이었기에 수능에 한번 도전해 보자는 마음을 먹게 되었습니다. 곧바로 다니던 학교에 자퇴 원서를 내고 수능을 준비하게 되었습니다. 하지만 공업고등학교를 나왔기에 일반적인 고교과정과 배운 점이 많이 달라 기본기조차 없었기 때문에 시작은 쉽지 않았습니다. 남들에 비해 많은 시간이 필요했기에 배로 노력해야 한다고 생각했고, 후회 없는 선택이 될 수 있도록 밤낮으로 공부한 결과 현재 다니는 학교에 입학할 수 있게 되었습니다.",현재 다니는 학교에 입학하게 된 후에 느끼는 변화와 성취감은 어떤가요?
"20대 초반 진로나 미래에 대한 고민 없이 의미 없는 나날을 보냈습니다. 방학 때 건설현장에서 아르바이트를 하곤 했는데, 소위 말하는 '막노동'이었습니다. 하루는 쉬는 시간에 나이 지긋한 인부 한 분께서 단어장으로 영어 공부 하시는 것을 보게 되었습니다. 궁금증이 생겨 대화를 나눠보니, 최근 영어공부에 푹 빠져 있다고 하셨습니다. 덧붙여 ""목표와 노력 없이 삶은 살아온 본인의 젊음이 너무 아깝다, 배우는 즐거움을 이제 느낀 게 너무 후회된다.""라는 말씀 또한 하셨습니다. 나이에 구애 받지 않고 평생 아쉬움으로 남아있던 공부에 도전하시는 모습을 보고 머리를 강하게 맞은 기분이 들었습니다. 지금까지 진로나 목표를 찾으려는 노력 없이 그저 내키는 대로 살아왔던 저 자신이 부끄럽게 느껴졌고 미래에 대해 진지하게 고민해볼 수 있는 계기가 되었습니다.
당시 제가 바로 도전해볼 수 있던 것은 수능이었기에 수능에 한번 도전해 보자는 마음을 먹게 되었습니다. 곧바로 다니던 학교에 자퇴 원서를 내고 수능을 준비하게 되었습니다. 하지만 공업고등학교를 나왔기에 일반적인 고교과정과 배운 점이 많이 달라 기본기조차 없었기 때문에 시작은 쉽지 않았습니다. 남들에 비해 많은 시간이 필요했기에 배로 노력해야 한다고 생각했고, 후회 없는 선택이 될 수 있도록 밤낮으로 공부한 결과 현재 다니는 학교에 입학할 수 있게 되었습니다.",자신의 경험을 통해 배운 교훈과 가장 큰 성장을 느낀 순간은 무엇인가요?
"20대 초반 진로나 미래에 대한 고민 없이 의미 없는 나날을 보냈습니다. 방학 때 건설현장에서 아르바이트를 하곤 했는데, 소위 말하는 '막노동'이었습니다. 하루는 쉬는 시간에 나이 지긋한 인부 한 분께서 단어장으로 영어 공부 하시는 것을 보게 되었습니다. 궁금증이 생겨 대화를 나눠보니, 최근 영어공부에 푹 빠져 있다고 하셨습니다. 덧붙여 ""목표와 노력 없이 삶은 살아온 본인의 젊음이 너무 아깝다, 배우는 즐거움을 이제 느낀 게 너무 후회된다.""라는 말씀 또한 하셨습니다. 나이에 구애 받지 않고 평생 아쉬움으로 남아있던 공부에 도전하시는 모습을 보고 머리를 강하게 맞은 기분이 들었습니다. 지금까지 진로나 목표를 찾으려는 노력 없이 그저 내키는 대로 살아왔던 저 자신이 부끄럽게 느껴졌고 미래에 대해 진지하게 고민해볼 수 있는 계기가 되었습니다.
당시 제가 바로 도전해볼 수 있던 것은 수능이었기에 수능에 한번 도전해 보자는 마음을 먹게 되었습니다. 곧바로 다니던 학교에 자퇴 원서를 내고 수능을 준비하게 되었습니다. 하지만 공업고등학교를 나왔기에 일반적인 고교과정과 배운 점이 많이 달라 기본기조차 없었기 때문에 시작은 쉽지 않았습니다. 남들에 비해 많은 시간이 필요했기에 배로 노력해야 한다고 생각했고, 후회 없는 선택이 될 수 있도록 밤낮으로 공부한 결과 현재 다니는 학교에 입학할 수 있게 되었습니다.","미래에 대한 목표와 계획을 가지게 된 지금, 어떤 분야에서 더 발전하고 싶은가요?"
"제가 생각하는 석유화학업계의 향후 트렌드는 '친환경'입니다. 정부의 2050 넷제로 선언, 롯데케미칼은 석유화학업계 최초 SAP 기반 GEMS 구축, GREEN PROMISE 2030 선언 등 환경경영을 확대해 나아가는 모습을 보여주고 있습니다. 이러한 상황에 저의 강점, 제가 기여할 점 등을 생산지원-전기 직무와 관련 지어 기술하도록 하겠습니다. 친환경에 앞서 더욱 중요한 점은 전기 엔지니어로서의 기초 지식입니다. 단순히 설비에 대한 지식뿐만 아니라 전체적인 계통에 대한 이해가 필요하다는 생각을 하였습니다. 이를 위해  교육원에서 진행한 '초급 계통운영반' 수업을 수강하며 국내의 전력계통 현황, 전력수급계획, 운영발전계획 수립 등 평소 대략적으로만 알고 있던 부분에 대해 자세하고 확실하게 알 수 있는 계기가 되었습니다.
향후 트렌드 라고 생각하는 친환경 경영에 걸맞는 엔지니어가 되기 위해  온실가스 감축 사업 관리자 양성교육과, 주관한 에너지 신산업 특강 등을 수료함으로써 환경 부분으로도 넓은 시야를 가질 수 있게 되었습니다. 이러한 저의 경험과 지식으로 롯데케미칼이 실천할 환경경영에 있어 제가 수행해야 할 여러 가지 부분(고효율의 설비 도입, 신재생에너지 사용)에 관한 끊임없는 공부와 현장 경험을 통해 최고의 결과를 가져올 수 있도록 노력하겠습니다",왜 석유화학업계에서 친환경 트렌드를 향해 진로를 결정하게 된 것인가요?
"제가 생각하는 석유화학업계의 향후 트렌드는 '친환경'입니다. 정부의 2050 넷제로 선언, 롯데케미칼은 석유화학업계 최초 SAP 기반 GEMS 구축, GREEN PROMISE 2030 선언 등 환경경영을 확대해 나아가는 모습을 보여주고 있습니다. 이러한 상황에 저의 강점, 제가 기여할 점 등을 생산지원-전기 직무와 관련 지어 기술하도록 하겠습니다. 친환경에 앞서 더욱 중요한 점은 전기 엔지니어로서의 기초 지식입니다. 단순히 설비에 대한 지식뿐만 아니라 전체적인 계통에 대한 이해가 필요하다는 생각을 하였습니다. 이를 위해  교육원에서 진행한 '초급 계통운영반' 수업을 수강하며 국내의 전력계통 현황, 전력수급계획, 운영발전계획 수립 등 평소 대략적으로만 알고 있던 부분에 대해 자세하고 확실하게 알 수 있는 계기가 되었습니다.
향후 트렌드 라고 생각하는 친환경 경영에 걸맞는 엔지니어가 되기 위해  온실가스 감축 사업 관리자 양성교육과, 주관한 에너지 신산업 특강 등을 수료함으로써 환경 부분으로도 넓은 시야를 가질 수 있게 되었습니다. 이러한 저의 경험과 지식으로 롯데케미칼이 실천할 환경경영에 있어 제가 수행해야 할 여러 가지 부분(고효율의 설비 도입, 신재생에너지 사용)에 관한 끊임없는 공부와 현장 경험을 통해 최고의 결과를 가져올 수 있도록 노력하겠습니다",롯데케미칼의 'GREEN PROMISE 2030'과 같은 기업들의 친환경 경영에 대해 어떤 인상을 가지고 계신가요?
"제가 생각하는 석유화학업계의 향후 트렌드는 '친환경'입니다. 정부의 2050 넷제로 선언, 롯데케미칼은 석유화학업계 최초 SAP 기반 GEMS 구축, GREEN PROMISE 2030 선언 등 환경경영을 확대해 나아가는 모습을 보여주고 있습니다. 이러한 상황에 저의 강점, 제가 기여할 점 등을 생산지원-전기 직무와 관련 지어 기술하도록 하겠습니다. 친환경에 앞서 더욱 중요한 점은 전기 엔지니어로서의 기초 지식입니다. 단순히 설비에 대한 지식뿐만 아니라 전체적인 계통에 대한 이해가 필요하다는 생각을 하였습니다. 이를 위해  교육원에서 진행한 '초급 계통운영반' 수업을 수강하며 국내의 전력계통 현황, 전력수급계획, 운영발전계획 수립 등 평소 대략적으로만 알고 있던 부분에 대해 자세하고 확실하게 알 수 있는 계기가 되었습니다.
향후 트렌드 라고 생각하는 친환경 경영에 걸맞는 엔지니어가 되기 위해  온실가스 감축 사업 관리자 양성교육과, 주관한 에너지 신산업 특강 등을 수료함으로써 환경 부분으로도 넓은 시야를 가질 수 있게 되었습니다. 이러한 저의 경험과 지식으로 롯데케미칼이 실천할 환경경영에 있어 제가 수행해야 할 여러 가지 부분(고효율의 설비 도입, 신재생에너지 사용)에 관한 끊임없는 공부와 현장 경험을 통해 최고의 결과를 가져올 수 있도록 노력하겠습니다","친환경 경영에 대한 관심을 바탕으로, 생산지원-전기 직무에서 어떤 분야에서 기여하고 싶으신가요?"
"제가 생각하는 석유화학업계의 향후 트렌드는 '친환경'입니다. 정부의 2050 넷제로 선언, 롯데케미칼은 석유화학업계 최초 SAP 기반 GEMS 구축, GREEN PROMISE 2030 선언 등 환경경영을 확대해 나아가는 모습을 보여주고 있습니다. 이러한 상황에 저의 강점, 제가 기여할 점 등을 생산지원-전기 직무와 관련 지어 기술하도록 하겠습니다. 친환경에 앞서 더욱 중요한 점은 전기 엔지니어로서의 기초 지식입니다. 단순히 설비에 대한 지식뿐만 아니라 전체적인 계통에 대한 이해가 필요하다는 생각을 하였습니다. 이를 위해  교육원에서 진행한 '초급 계통운영반' 수업을 수강하며 국내의 전력계통 현황, 전력수급계획, 운영발전계획 수립 등 평소 대략적으로만 알고 있던 부분에 대해 자세하고 확실하게 알 수 있는 계기가 되었습니다.
향후 트렌드 라고 생각하는 친환경 경영에 걸맞는 엔지니어가 되기 위해  온실가스 감축 사업 관리자 양성교육과, 주관한 에너지 신산업 특강 등을 수료함으로써 환경 부분으로도 넓은 시야를 가질 수 있게 되었습니다. 이러한 저의 경험과 지식으로 롯데케미칼이 실천할 환경경영에 있어 제가 수행해야 할 여러 가지 부분(고효율의 설비 도입, 신재생에너지 사용)에 관한 끊임없는 공부와 현장 경험을 통해 최고의 결과를 가져올 수 있도록 노력하겠습니다",'초급 계통운영반' 수업을 통해 얻은 지식과 이해가 전기 엔지니어로서 어떻게 도움이 될 수 있을까요?
"제가 생각하는 석유화학업계의 향후 트렌드는 '친환경'입니다. 정부의 2050 넷제로 선언, 롯데케미칼은 석유화학업계 최초 SAP 기반 GEMS 구축, GREEN PROMISE 2030 선언 등 환경경영을 확대해 나아가는 모습을 보여주고 있습니다. 이러한 상황에 저의 강점, 제가 기여할 점 등을 생산지원-전기 직무와 관련 지어 기술하도록 하겠습니다. 친환경에 앞서 더욱 중요한 점은 전기 엔지니어로서의 기초 지식입니다. 단순히 설비에 대한 지식뿐만 아니라 전체적인 계통에 대한 이해가 필요하다는 생각을 하였습니다. 이를 위해  교육원에서 진행한 '초급 계통운영반' 수업을 수강하며 국내의 전력계통 현황, 전력수급계획, 운영발전계획 수립 등 평소 대략적으로만 알고 있던 부분에 대해 자세하고 확실하게 알 수 있는 계기가 되었습니다.
향후 트렌드 라고 생각하는 친환경 경영에 걸맞는 엔지니어가 되기 위해  온실가스 감축 사업 관리자 양성교육과, 주관한 에너지 신산업 특강 등을 수료함으로써 환경 부분으로도 넓은 시야를 가질 수 있게 되었습니다. 이러한 저의 경험과 지식으로 롯데케미칼이 실천할 환경경영에 있어 제가 수행해야 할 여러 가지 부분(고효율의 설비 도입, 신재생에너지 사용)에 관한 끊임없는 공부와 현장 경험을 통해 최고의 결과를 가져올 수 있도록 노력하겠습니다",온실가스 감축 사업 관리자 양성교육과 에너지 신산업 특강을 수료한 경험으로 어떤 환경 관련 업무에 도움이 될 것으로 생각하시나요?
"제가 생각하는 석유화학업계의 향후 트렌드는 '친환경'입니다. 정부의 2050 넷제로 선언, 롯데케미칼은 석유화학업계 최초 SAP 기반 GEMS 구축, GREEN PROMISE 2030 선언 등 환경경영을 확대해 나아가는 모습을 보여주고 있습니다. 이러한 상황에 저의 강점, 제가 기여할 점 등을 생산지원-전기 직무와 관련 지어 기술하도록 하겠습니다. 친환경에 앞서 더욱 중요한 점은 전기 엔지니어로서의 기초 지식입니다. 단순히 설비에 대한 지식뿐만 아니라 전체적인 계통에 대한 이해가 필요하다는 생각을 하였습니다. 이를 위해  교육원에서 진행한 '초급 계통운영반' 수업을 수강하며 국내의 전력계통 현황, 전력수급계획, 운영발전계획 수립 등 평소 대략적으로만 알고 있던 부분에 대해 자세하고 확실하게 알 수 있는 계기가 되었습니다.
향후 트렌드 라고 생각하는 친환경 경영에 걸맞는 엔지니어가 되기 위해  온실가스 감축 사업 관리자 양성교육과, 주관한 에너지 신산업 특강 등을 수료함으로써 환경 부분으로도 넓은 시야를 가질 수 있게 되었습니다. 이러한 저의 경험과 지식으로 롯데케미칼이 실천할 환경경영에 있어 제가 수행해야 할 여러 가지 부분(고효율의 설비 도입, 신재생에너지 사용)에 관한 끊임없는 공부와 현장 경험을 통해 최고의 결과를 가져올 수 있도록 노력하겠습니다",롯데케미칼이 추구하는 친환경 경영의 목표와 방향성에 대해 어떻게 이해하고 있나요?
"제가 생각하는 석유화학업계의 향후 트렌드는 '친환경'입니다. 정부의 2050 넷제로 선언, 롯데케미칼은 석유화학업계 최초 SAP 기반 GEMS 구축, GREEN PROMISE 2030 선언 등 환경경영을 확대해 나아가는 모습을 보여주고 있습니다. 이러한 상황에 저의 강점, 제가 기여할 점 등을 생산지원-전기 직무와 관련 지어 기술하도록 하겠습니다. 친환경에 앞서 더욱 중요한 점은 전기 엔지니어로서의 기초 지식입니다. 단순히 설비에 대한 지식뿐만 아니라 전체적인 계통에 대한 이해가 필요하다는 생각을 하였습니다. 이를 위해  교육원에서 진행한 '초급 계통운영반' 수업을 수강하며 국내의 전력계통 현황, 전력수급계획, 운영발전계획 수립 등 평소 대략적으로만 알고 있던 부분에 대해 자세하고 확실하게 알 수 있는 계기가 되었습니다.
향후 트렌드 라고 생각하는 친환경 경영에 걸맞는 엔지니어가 되기 위해  온실가스 감축 사업 관리자 양성교육과, 주관한 에너지 신산업 특강 등을 수료함으로써 환경 부분으로도 넓은 시야를 가질 수 있게 되었습니다. 이러한 저의 경험과 지식으로 롯데케미칼이 실천할 환경경영에 있어 제가 수행해야 할 여러 가지 부분(고효율의 설비 도입, 신재생에너지 사용)에 관한 끊임없는 공부와 현장 경험을 통해 최고의 결과를 가져올 수 있도록 노력하겠습니다",고효율의 설비 도입과 신재생에너지 사용에 대해 어떤 노력과 계획을 가지고 있나요? 자세히 설명해주세요.
"제가 생각하는 석유화학업계의 향후 트렌드는 '친환경'입니다. 정부의 2050 넷제로 선언, 롯데케미칼은 석유화학업계 최초 SAP 기반 GEMS 구축, GREEN PROMISE 2030 선언 등 환경경영을 확대해 나아가는 모습을 보여주고 있습니다. 이러한 상황에 저의 강점, 제가 기여할 점 등을 생산지원-전기 직무와 관련 지어 기술하도록 하겠습니다. 친환경에 앞서 더욱 중요한 점은 전기 엔지니어로서의 기초 지식입니다. 단순히 설비에 대한 지식뿐만 아니라 전체적인 계통에 대한 이해가 필요하다는 생각을 하였습니다. 이를 위해  교육원에서 진행한 '초급 계통운영반' 수업을 수강하며 국내의 전력계통 현황, 전력수급계획, 운영발전계획 수립 등 평소 대략적으로만 알고 있던 부분에 대해 자세하고 확실하게 알 수 있는 계기가 되었습니다.
향후 트렌드 라고 생각하는 친환경 경영에 걸맞는 엔지니어가 되기 위해  온실가스 감축 사업 관리자 양성교육과, 주관한 에너지 신산업 특강 등을 수료함으로써 환경 부분으로도 넓은 시야를 가질 수 있게 되었습니다. 이러한 저의 경험과 지식으로 롯데케미칼이 실천할 환경경영에 있어 제가 수행해야 할 여러 가지 부분(고효율의 설비 도입, 신재생에너지 사용)에 관한 끊임없는 공부와 현장 경험을 통해 최고의 결과를 가져올 수 있도록 노력하겠습니다",현장 경험이 중요한 생산지원-전기 직무에서 어떻게 실질적인 기술과 경험을 쌓을 계획인가요?
